endpoint                            samples  p50_ms   p95_ms   p99_ms
/healthz                                100     3.0      5.5      7.7
/v1/admin/dashboard                     100     2.5      4.7      6.1
/v1/admin/me                            100     2.9      4.4      4.8
/v1/license/status                      100     2.4      4.6      5.0
/v1/marketplace/plugins                 100     1.9      4.5      4.8
/v1/meetings                            100     2.8      4.6      5.7
/v1/panel/cascade/recent                100     1.8      4.5      5.2
/v1/panel/tools                         100     3.3      4.7     12.7
/v1/system/feature/usage                100     2.7      4.7      5.7
/v1/system/quota/status                 100     2.9      4.2      4.8
/v1/tts/voices                          100     2.1      4.4      4.9
/v1/update/changelog                    100     8.2     11.5     21.0

p95 breaches (>200ms): 0
